   0.6250000E-02   0.7424277E-01
   0.1319444E-01   0.1648999E+00
   0.2013889E-01   0.2664962E+00
   0.2708333E-01   0.3790087E+00
   0.3402778E-01   0.5016503E+00
   0.4097222E-01   0.6339731E+00
   0.4791666E-01   0.7744424E+00
   0.5486111E-01   0.9222387E+00
   0.6180555E-01   0.1075894E+01
   0.6875000E-01   0.1233492E+01
   0.7569444E-01   0.1393413E+01
   0.8263888E-01   0.1552611E+01
   0.8958333E-01   0.1708151E+01
   0.9652777E-01   0.1859381E+01
   0.1034722E+00   0.2004637E+01
   0.1104167E+00   0.2140674E+01
   0.1173611E+00   0.2262788E+01
   0.1243055E+00   0.2367308E+01
   0.1312500E+00   0.2453232E+01
   0.1381944E+00   0.2520127E+01
   0.1451389E+00   0.2568799E+01
   0.1520833E+00   0.2598882E+01
   0.1590278E+00   0.2608348E+01
   0.1659722E+00   0.2595541E+01
   0.1729167E+00   0.2562083E+01
   0.1798611E+00   0.2511233E+01
   0.1868055E+00   0.2447274E+01
   0.1937500E+00   0.2375137E+01
   0.2006944E+00   0.2297601E+01
   0.2076389E+00   0.2215271E+01
   0.2145833E+00   0.2127787E+01
   0.2215278E+00   0.2033238E+01
   0.2284722E+00   0.1931342E+01
   0.2354167E+00   0.1825597E+01
   0.2423611E+00   0.1719846E+01
   0.2493055E+00   0.1617905E+01
   0.2562500E+00   0.1524450E+01
   0.2631944E+00   0.1443154E+01
   0.2701389E+00   0.1375568E+01
   0.2770833E+00   0.1320786E+01
   0.2840278E+00   0.1279241E+01
   0.2909722E+00   0.1251421E+01
   0.2979166E+00   0.1237823E+01
   0.3048611E+00   0.1239787E+01
   0.3118055E+00   0.1256904E+01
   0.3187500E+00   0.1288855E+01
   0.3256944E+00   0.1335864E+01
   0.3326389E+00   0.1397567E+01
   0.3395833E+00   0.1472964E+01
   0.3465278E+00   0.1561870E+01
   0.3534722E+00   0.1663680E+01
   0.3604166E+00   0.1776499E+01
   0.3673611E+00   0.1897987E+01
   0.3743055E+00   0.2023518E+01
   0.3812500E+00   0.2147643E+01
   0.3881944E+00   0.2265046E+01
   0.3951389E+00   0.2371700E+01
   0.4020833E+00   0.2465631E+01
   0.4090278E+00   0.2545912E+01
   0.4159722E+00   0.2610603E+01
   0.4229166E+00   0.2657757E+01
   0.4298611E+00   0.2686375E+01
   0.4368055E+00   0.2696201E+01
   0.4437500E+00   0.2687770E+01
   0.4506944E+00   0.2661881E+01
   0.4576389E+00   0.2620607E+01
   0.4645833E+00   0.2566406E+01
   0.4715277E+00   0.2501428E+01
   0.4784722E+00   0.2426962E+01
   0.4854166E+00   0.2344692E+01
   0.4923611E+00   0.2256813E+01
   0.4993055E+00   0.2165655E+01
   0.5062500E+00   0.2073617E+01
   0.5131944E+00   0.1982978E+01
   0.5201389E+00   0.1896404E+01
   0.5270833E+00   0.1815476E+01
   0.5340277E+00   0.1741833E+01
   0.5409722E+00   0.1677422E+01
